path,file,round,subject,session,task
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1177_S1_1_VRG.csv,S_1177_S1_1_VRG.csv,1,177,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3097_S1_1_VRG.csv,S_3097_S1_1_VRG.csv,3,97,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1225_S1_1_VRG.csv,S_1225_S1_1_VRG.csv,1,225,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1017_S2_1_VRG.csv,S_1017_S2_1_VRG.csv,1,17,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1154_S2_1_VRG.csv,S_1154_S2_1_VRG.csv,1,154,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1240_S1_1_VRG.csv,S_1240_S1_1_VRG.csv,1,240,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1411_S2_1_VRG.csv,S_1411_S2_1_VRG.csv,1,411,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1005_S1_1_VRG.csv,S_1005_S1_1_VRG.csv,1,5,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1430_S1_1_VRG.csv,S_1430_S1_1_VRG.csv,1,430,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1364_S2_1_VRG.csv,S_1364_S2_1_VRG.csv,1,364,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1388_S2_1_VRG.csv,S_1388_S2_1_VRG.csv,1,388,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1427_S1_1_VRG.csv,S_1427_S1_1_VRG.csv,1,427,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1343_S1_1_VRG.csv,S_1343_S1_1_VRG.csv,1,343,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3137_S1_1_VRG.csv,S_3137_S1_1_VRG.csv,3,137,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1085_S1_1_VRG.csv,S_1085_S1_1_VRG.csv,1,85,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1244_S1_1_VRG.csv,S_1244_S1_1_VRG.csv,1,244,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1062_S2_1_VRG.csv,S_1062_S2_1_VRG.csv,1,62,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1389_S1_1_VRG.csv,S_1389_S1_1_VRG.csv,1,389,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1391_S2_1_VRG.csv,S_1391_S2_1_VRG.csv,1,391,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1199_S1_1_VRG.csv,S_1199_S1_1_VRG.csv,1,199,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1371_S1_1_VRG.csv,S_1371_S1_1_VRG.csv,1,371,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1257_S2_1_VRG.csv,S_1257_S2_1_VRG.csv,1,257,2,VRG
