valid_frac,corr,ddem,n_conv,n_div,conv_latency_ms,conv_gain,conv_peakvel,conv_settle_ms,div_latency_ms,div_gain,div_peakvel,div_settle_ms,subject,round,session,file
0.9782637954239569,0.6986456775880244,1.8505108410612578,11,11,228.0,0.9260335576367209,11.053317341084279,636.0,180.0,0.981419384718918,17.313190594593685,508.0,243,1,2,S_1243_S2_1_VRG.csv
0.9173201265648645,0.37699295300320024,1.6215095107794824,11,11,360.0,0.9565058012839704,44.91388080792746,744.0,244.0,0.9254960365919339,33.90209446494885,364.0,310,1,2,S_1310_S2_1_VRG.csv
0.8898449771221744,0.4088693864745192,1.772885507850563,11,11,232.0,1.264171328680987,94.57387689369124,840.0,208.0,1.273095028825487,37.435460360699004,492.0,127,1,1,S_1127_S1_1_VRG.csv
0.9871244635193133,0.7460796039890845,2.029776716712991,11,11,204.0,1.0871090566498673,17.298920000599182,400.0,192.0,1.0821599336249577,15.579367428783408,460.0,388,1,1,S_1388_S1_1_VRG.csv
0.9488312041315575,0.6625180912174389,1.631010600789299,12,11,216.0,1.2791014899191868,38.213889490890104,444.0,208.0,1.399831166489499,52.89402662786768,412.0,296,1,1,S_1296_S1_1_VRG.csv
0.9876403747757326,0.6946149810785093,1.797589696910606,12,11,204.0,0.8266489195427097,10.857656673057381,428.0,240.0,0.8955487940133918,12.847269136583849,456.0,117,1,1,S_1117_S1_1_VRG.csv
0.9185278181577904,0.6695732025956063,1.8206053684440748,12,11,204.0,0.7777605555114142,22.916437117223577,428.0,192.0,0.8750884726498359,34.8677036551629,420.0,325,1,1,S_1325_S1_1_VRG.csv
0.9857898215465961,0.7172642361662146,1.8525224919577212,12,11,224.0,1.1995997459719476,21.313795238861342,604.0,216.0,1.1778192667568566,15.839980425607969,572.0,117,1,2,S_1117_S2_1_VRG.csv
0.9606960081883317,0.7053120180099994,1.9215159135986415,12,11,216.0,0.972185363065562,17.4265800283947,368.0,180.0,1.012842337853255,19.30870056139611,292.0,445,1,2,S_1445_S2_1_VRG.csv
0.7947066326530612,0.7314993696168602,1.910864197853261,12,11,228.0,1.2570503604224774,95.23432088824791,384.0,200.0,1.1836156007726164,58.22019734587735,344.0,20,1,1,S_1020_S1_1_VRG.csv
0.9848054436149831,0.6042024112511497,1.972635647484564,12,11,280.0,0.7984421280502242,12.865796255195127,944.0,196.0,0.7935952105519152,8.211090147944743,784.0,11,1,2,S_1011_S2_1_VRG.csv
0.3439723521040862,0.27285397161282066,1.7335406663492519,0,0,,,,,,,,,223,1,1,S_1223_S1_1_VRG.csv
0.9861065384868638,0.7048928722176898,1.682043766547868,11,11,212.0,0.9984626473715036,17.39781051614786,520.0,184.0,0.8676959794060485,15.918296351879023,308.0,165,1,1,S_1165_S1_1_VRG.csv
0.9844790833999467,0.7066408426608696,1.8229522520570924,11,11,236.0,0.988352566124749,21.682737649117765,496.0,180.0,0.9850991725492262,10.109857251017651,412.0,364,1,1,S_1364_S1_1_VRG.csv
0.9902893765779763,0.7469361025801277,1.7875324205445597,12,11,208.0,1.0685564716227363,22.362652620498967,444.0,196.0,1.1167409667490455,17.814726600706155,408.0,232,1,1,S_1232_S1_1_VRG.csv
0.9294294294294294,0.7304560034407753,1.7433289573480586,12,11,196.0,1.0396828100354616,19.752824847390272,452.0,208.0,1.034523953966254,27.08801779251946,440.0,122,1,1,S_1122_S1_1_VRG.csv
0.8612225789192082,0.6416949921352443,1.8567946965655686,12,11,244.0,1.1118659903967119,57.573080444883075,572.0,220.0,1.1476490522153415,49.564748524073664,440.0,128,1,2,S_1128_S2_1_VRG.csv
0.9744421638085149,0.44701444726974887,1.8521864632403737,12,11,268.0,0.8090840185684383,20.28186837520085,484.0,216.0,0.8738984020953174,16.560231064422393,424.0,75,3,2,S_3075_S2_1_VRG.csv
0.9983779399837794,0.5020156516871215,1.789932191787261,12,11,216.0,0.8188113246240215,7.735097206436059,560.0,228.0,0.8904804998940794,11.007068064804226,460.0,57,1,2,S_1057_S2_1_VRG.csv
0.9138367638465035,0.6374300081356014,1.5484237130944916,11,11,200.0,1.5359963873741977,99.80297039854746,384.0,204.0,1.4577429210489496,102.1214191829014,336.0,320,1,2,S_1320_S2_1_VRG.csv
